=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  1460M lines, 6476301 records, 5425 matched, 86798 lines/sec (280.3 min)
  1465M lines, 6496740 records, 5433 matched, 86734 lines/sec (281.5 min)
  1470M lines, 6524144 records, 5440 matched, 86571 lines/sec (283.0 min)
  5500 records matched, 6539346 records scanned (283.8 min)
  1475M lines, 6551123 records, 5529 matched, 86478 lines/sec (284.3 min)
  1480M lines, 6584591 records, 5664 matched, 86378 lines/sec (285.6 min)
  1485M lines, 6599734 records, 5671 matched, 86478 lines/sec (286.2 min)
  1490M lines, 6615394 records, 5676 matched, 86568 lines/sec (286.9 min)
  1495M lines, 6629930 records, 5684 matched, 86693 lines/sec (287.4 min)
  1500M lines, 6657068 records, 5711 matched, 86744 lines/sec (288.2 min)
  1505M lines, 6687334 records, 5725 matched, 86819 lines/sec (288.9 min)
  1510M lines, 6720391 records, 5751 matched, 86881 lines/sec (289.7 min)
  1515M lines, 6736449 records, 5752 matched, 86987 lines/sec (290.3 min)
  1520M lines, 6760523 records, 5763 matched, 87067 lines/sec (291.0 min)
  1525M lines, 6791384 records, 5768 matched, 87074 lines/sec (291.9 min)
  1530M lines, 6834340 records, 5780 matched, 87000 lines/sec (293.1 min)
  1535M lines, 6872238 records, 5790 matched, 86942 lines/sec (294.3 min)
  1540M lines, 6930950 records, 5820 matched, 86813 lines/sec (295.7 min)
  1545M lines, 7008815 records, 5840 matched, 86462 lines/sec (297.8 min)
  1550M lines, 7064602 records, 5876 matched, 86273 lines/sec (299.4 min)
  1555M lines, 7076149 records, 5879 matched, 86373 lines/sec (300.1 min)
  1560M lines, 7087971 records, 5881 matched, 86477 lines/sec (300.7 min)
  1565M lines, 7097762 records, 5883 matched, 86643 lines/sec (301.0 min)
  1570M lines, 7108556 records, 5886 matched, 86824 lines/sec (301.4 min)
  1575M lines, 7117266 records, 5889 matched, 87006 lines/sec (301.7 min)
  1580M lines, 7125082 records, 5895 matched, 87196 lines/sec (302.0 min)
  1585M lines, 7132682 records, 5900 matched, 87390 lines/sec (302.3 min)
  1590M lines, 7141891 records, 5901 matched, 87517 lines/sec (302.8 min)
  1595M lines, 7151614 records, 5901 matched, 87653 lines/sec (303.3 min)
